zip,city,province,district,lon,lat
22002,Dunukedeniya,Central Province,Nuwara Eliya,7,80.6333
22008,Rozella,Central Province,Nuwara Eliya,6.9317,80.5495
22010,Watawala,Central Province,Nuwara Eliya,6.9442,80.5377
22012,Patana,Central Province,Nuwara Eliya,7.5158,80.6829
22018,Wijebahukanda,Central Province,Nuwara Eliya,7.011,80.6238
22021,Maldeniya,Central Province,Nuwara Eliya,7.0276,80.652
22024,Hedunuwewa,Central Province,Nuwara Eliya,7.0276,80.652
22032,Widulipura,Central Province,Nuwara Eliya,6.9268,80.4888
22034,Laxapana,Central Province,Nuwara Eliya,6.9268,80.4888
22036,Morahenagama,Central Province,Nuwara Eliya,6.9268,80.4888
22040,Kottellena,Central Province,Nuwara Eliya,6.9359,80.4583
22044,Hangarapitiya,Central Province,Nuwara Eliya,6.9182,80.472
22046,Hitigegama,Central Province,Nuwara Eliya,6.9536,80.4446
22050,Dikoya,Central Province,Nuwara Eliya,6.8713,80.6
22058,Norwood,Central Province,Nuwara Eliya,6.8377,80.6079
22060,Bogawantalawa,Central Province,Nuwara Eliya,6.7994,80.665
22070,Maskeliya,Central Province,Nuwara Eliya,6.8343,80.5676
22075,Nissanka Uyana,Central Province,Nuwara Eliya,6.8343,80.5676
22080,Kotagala,Central Province,Nuwara Eliya,6.9284,80.6061
22090,Lindula,Central Province,Nuwara Eliya,6.9217,80.685
22094,Agarapathana,Central Province,Nuwara Eliya,6.9217,80.685
22095,Bopattalawa,Central Province,Nuwara Eliya,6.9217,80.685
22096,Dayagama Bazaar,Central Province,Nuwara Eliya,6.9217,80.685
22100,Talawakele,Central Province,Nuwara Eliya,6.9371,80.6581
22110,Watagoda,Central Province,Nuwara Eliya,6.9704,80.6493
22120,Pundaluoya,Central Province,Nuwara Eliya,7.0151,80.6697
22150,Nanuoya,Central Province,Nuwara Eliya,6.9742,80.659
22200,Nuwara Eliya,Central Province,Nuwara Eliya,6.9708,80.7829
22202,Santhipura,Central Province,Nuwara Eliya,6.9708,80.7829
22208,Haggala,Central Province,Nuwara Eliya,6.9708,80.7829
22212,Ruwaneliya,Central Province,Nuwara Eliya,6.873,80.8106
22214,Mipilimana,Central Province,Nuwara Eliya,6.873,80.8106
22216,Ambewela,Central Province,Nuwara Eliya,6.873,80.8106
22220,Kandapola,Central Province,Nuwara Eliya,6.9894,80.8127
22226,Gonakele,Central Province,Nuwara Eliya,7.0568,80.8074
22240,Halgranoya,Central Province,Nuwara Eliya,7.0486,80.8898
22245,Rupaha,Central Province,Nuwara Eliya,7.036,80.904
22246,Kumbukwela,Central Province,Nuwara Eliya,7.0612,80.8757
22250,Udapussallawa,Central Province,Nuwara Eliya,7.0308,80.9105
22252,Kurupanawela,Central Province,Nuwara Eliya,7.009,80.9052
22254,Mipanawa,Central Province,Nuwara Eliya,7.0373,80.923
22256,Madulla,Central Province,Nuwara Eliya,7.0462,80.9034
22262,Harasbedda,Central Province,Nuwara Eliya,7.0493,80.8744
22270,Walapane,Central Province,Nuwara Eliya,7.1141,80.8511
22272,Kumbalgamuwa,Central Province,Nuwara Eliya,7.1141,80.8511
